"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Relative Humidity Avg. (%)","Relative Humidity Avg. Source Flag","Relative Humidity Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)"
"Calgary Int'L CS","28-February-2018","-11.4","ACTUAL","100.0","1.5","ACTUAL","100.0","-4.6","AGGREGATED","100.0","45.9","AGGREGATED","100.0","11.9","AGGREGATED","100.0"
"Calgary Int'L CS","01-March-2018","-14.8","ACTUAL","100.0","-6.1","ACTUAL","100.0","-9.6","AGGREGATED","100.0","82.8","AGGREGATED","100.0","8.1","AGGREGATED","100.0"
"Calgary Int'L CS","02-March-2018","-10.8","ACTUAL","100.0","-7.5","ACTUAL","100.0","-9.6","AGGREGATED","100.0","89.8","AGGREGATED","100.0","14.7","AGGREGATED","100.0"
"Calgary Int'L CS","03-March-2018","-13.8","ACTUAL","100.0","-10.0","ACTUAL","100.0","-11.5","AGGREGATED","100.0","83.2","AGGREGATED","100.0","19.9","AGGREGATED","100.0"
"Calgary Int'L CS","04-March-2018","-22.1","ACTUAL","100.0","-10.3","ACTUAL","100.0","-14.5","AGGREGATED","100.0","74.5","AGGREGATED","100.0","6.5","AGGREGATED","100.0"
"Calgary Int'L CS","05-March-2018","-25.2","ACTUAL","100.0","-7.6","ACTUAL","100.0","-17.3","AGGREGATED","100.0","72.2","AGGREGATED","100.0","6.0","AGGREGATED","100.0"
"Calgary Int'L CS","06-March-2018","-23.3","ACTUAL","100.0","-6.8","ACTUAL","100.0","-15.5","AGGREGATED","100.0","71.6","AGGREGATED","100.0","8.4","AGGREGATED","100.0"
"Calgary Int'L CS","07-March-2018","-20.3","ACTUAL","100.0","-6.1","ACTUAL","100.0","-13.4","AGGREGATED","100.0","73.5","AGGREGATED","100.0","5.4","AGGREGATED","100.0"
"Calgary Int'L CS","08-March-2018","-18.5","ACTUAL","100.0","-8.3","ACTUAL","100.0","-11.7","AGGREGATED","100.0","82.9","AGGREGATED","100.0","11.2","AGGREGATED","100.0"
"Calgary Int'L CS","09-March-2018","-10.6","ACTUAL","100.0","5.8","ACTUAL","100.0","-4.4","AGGREGATED","100.0","72.6","AGGREGATED","100.0","13.4","AGGREGATED","100.0"
"Calgary Int'L CS","10-March-2018","-12.8","ACTUAL","100.0","3.9","ACTUAL","100.0","-4.5","AGGREGATED","100.0","68.1","AGGREGATED","100.0","8.3","AGGREGATED","100.0"
"Calgary Int'L CS","11-March-2018","-13.4","ACTUAL","100.0","3.6","ACTUAL","100.0","-4.9","AGGREGATED","100.0","67.1","AGGREGATED","100.0","4.0","AGGREGATED","100.0"
"Calgary Int'L CS","12-March-2018","-13.4","ACTUAL","100.0","6.4","ACTUAL","100.0","-3.6","AGGREGATED","100.0","65.6","AGGREGATED","100.0","7.5","AGGREGATED","100.0"
"Calgary Int'L CS","13-March-2018","-10.9","ACTUAL","100.0","7.4","ACTUAL","100.0","-2.3","AGGREGATED","100.0","61.7","AGGREGATED","100.0","4.9","AGGREGATED","100.0"
"Calgary Int'L CS","14-March-2018","-11.0","ACTUAL","100.0","2.5","ACTUAL","100.0","-4.7","AGGREGATED","100.0","76.6","AGGREGATED","100.0","5.4","AGGREGATED","100.0"
"Calgary Int'L CS","15-March-2018","-8.1","ACTUAL","100.0","-2.4","ACTUAL","100.0","-4.4","AGGREGATED","100.0","88.1","AGGREGATED","100.0","16.3","AGGREGATED","100.0"
"Calgary Int'L CS","16-March-2018","-11.5","ACTUAL","100.0","3.7","ACTUAL","100.0","-4.3","AGGREGATED","100.0","80.8","AGGREGATED","100.0","6.0","AGGREGATED","100.0"
"Calgary Int'L CS","17-March-2018","-3.9","ACTUAL","100.0","0.7","ACTUAL","100.0","-1.3","AGGREGATED","100.0","87.3","AGGREGATED","100.0","8.1","AGGREGATED","100.0"
"Calgary Int'L CS","18-March-2018","-4.6","ACTUAL","100.0","-0.4","ACTUAL","100.0","-2.9","AGGREGATED","100.0","87.6","AGGREGATED","100.0","13.2","AGGREGATED","100.0"
"Calgary Int'L CS","19-March-2018","-7.6","ACTUAL","100.0","5.4","ACTUAL","100.0","-2.2","AGGREGATED","100.0","71.6","AGGREGATED","100.0","6.5","AGGREGATED","100.0"
"Calgary Int'L CS","20-March-2018","-7.2","ACTUAL","100.0","5.9","ACTUAL","100.0","0.2","AGGREGATED","100.0","62.7","AGGREGATED","100.0","7.9","AGGREGATED","100.0"
"Calgary Int'L CS","21-March-2018","-5.3","ACTUAL","100.0","3.0","ACTUAL","100.0","-1.0","AGGREGATED","100.0","69.4","AGGREGATED","100.0","6.8","AGGREGATED","100.0"
"Calgary Int'L CS","22-March-2018","-7.8","ACTUAL","100.0","-1.8","ACTUAL","100.0","-5.1","AGGREGATED","100.0","91.3","AGGREGATED","100.0","7.6","AGGREGATED","100.0"
"Calgary Int'L CS","23-March-2018","-9.6","ACTUAL","100.0","5.6","ACTUAL","100.0","-0.3","AGGREGATED","100.0","58.2","AGGREGATED","100.0","15.7","AGGREGATED","100.0"
"Calgary Int'L CS","24-March-2018","-5.8","ACTUAL","100.0","2.3","ACTUAL","100.0","-1.8","AGGREGATED","100.0","67.2","AGGREGATED","100.0","9.7","AGGREGATED","100.0"
"Calgary Int'L CS","25-March-2018","-10.1","ACTUAL","100.0","4.2","ACTUAL","100.0","-2.2","AGGREGATED","100.0","54.6","AGGREGATED","100.0","11.8","AGGREGATED","100.0"
"Calgary Int'L CS","26-March-2018","-5.7","ACTUAL","100.0","5.5","ACTUAL","100.0","1.0","AGGREGATED","100.0","41.5","AGGREGATED","100.0","17.7","AGGREGATED","100.0"
"Calgary Int'L CS","27-March-2018","-1.7","ACTUAL","100.0","8.3","ACTUAL","100.0","3.0","AGGREGATED","100.0","60.3","AGGREGATED","100.0","18.9","AGGREGATED","100.0"
"Calgary Int'L CS","28-March-2018","-3.9","ACTUAL","100.0","2.7","ACTUAL","100.0","-0.6","AGGREGATED","100.0","76.1","AGGREGATED","100.0","8.9","AGGREGATED","100.0"
"Calgary Int'L CS","29-March-2018","-8.6","ACTUAL","100.0","-2.6","ACTUAL","100.0","-6.3","AGGREGATED","100.0","89.2","AGGREGATED","100.0","11.7","AGGREGATED","100.0"
"Calgary Int'L CS","30-March-2018","-13.0","ACTUAL","100.0","-8.0","ACTUAL","100.0","-10.6","AGGREGATED","100.0","86.2","AGGREGATED","100.0","15.0","AGGREGATED","100.0"
"Calgary Int'L CS","31-March-2018","-20.0","ACTUAL","100.0","-9.9","ACTUAL","100.0","-13.7","AGGREGATED","100.0","75.0","AGGREGATED","100.0","10.0","AGGREGATED","100.0"
"Calgary Int'L CS","01-April-2018","-16.1","ACTUAL","100.0","-7.1","ACTUAL","100.0","-11.2","AGGREGATED","100.0","70.8","AGGREGATED","100.0","8.3","AGGREGATED","100.0"
"Calgary Int'L CS","02-April-2018","-12.6","ACTUAL","100.0","-5.9","ACTUAL","100.0","-9.5","AGGREGATED","100.0","59.3","AGGREGATED","100.0","10.0","AGGREGATED","100.0"
"Calgary Int'L CS","03-April-2018","-15.8","ACTUAL","100.0","-5.4","ACTUAL","100.0","-9.8","AGGREGATED","100.0","69.0","AGGREGATED","100.0","8.3","AGGREGATED","100.0"
"Calgary Int'L CS","04-April-2018","-12.8","ACTUAL","100.0","-0.2","ACTUAL","100.0","-8.7","AGGREGATED","100.0","75.9","AGGREGATED","100.0","15.5","AGGREGATED","100.0"
"Calgary Int'L CS","05-April-2018","-13.6","ACTUAL","100.0","-7.4","ACTUAL","100.0","-10.2","AGGREGATED","100.0","63.2","AGGREGATED","100.0","14.3","AGGREGATED","100.0"
"Calgary Int'L CS","06-April-2018","-16.0","ACTUAL","100.0","-10.5","ACTUAL","100.0","-13.1","AGGREGATED","100.0","80.6","AGGREGATED","100.0","22.9","AGGREGATED","100.0"
"Calgary Int'L CS","07-April-2018","-15.0","ACTUAL","100.0","-9.1","ACTUAL","100.0","-11.8","AGGREGATED","100.0","86.0","AGGREGATED","100.0","12.7","AGGREGATED","100.0"
"Calgary Int'L CS","08-April-2018","-9.4","ACTUAL","100.0","-5.0","ACTUAL","100.0","-7.2","AGGREGATED","100.0","81.3","AGGREGATED","100.0","10.1","AGGREGATED","100.0"
"Calgary Int'L CS","09-April-2018","-6.9","ACTUAL","100.0","5.1","ACTUAL","100.0","-0.4","AGGREGATED","100.0","70.5","AGGREGATED","100.0","8.1","AGGREGATED","100.0"
"Calgary Int'L CS","10-April-2018","-4.3","ACTUAL","100.0","8.4","ACTUAL","100.0","2.5","AGGREGATED","100.0","64.7","AGGREGATED","100.0","7.4","AGGREGATED","100.0"
"Calgary Int'L CS","11-April-2018","-6.3","ACTUAL","100.0","7.3","ACTUAL","100.0","0.8","AGGREGATED","100.0","77.8","AGGREGATED","100.0","11.5","AGGREGATED","100.0"
"Calgary Int'L CS","12-April-2018","-3.9","ACTUAL","100.0","-1.9","ACTUAL","100.0","-3.2","AGGREGATED","100.0","94.5","AGGREGATED","100.0","15.0","AGGREGATED","100.0"
"Calgary Int'L CS","13-April-2018","-3.7","ACTUAL","100.0","7.6","ACTUAL","100.0","0.6","AGGREGATED","100.0","77.3","AGGREGATED","100.0","12.4","AGGREGATED","100.0"
"Calgary Int'L CS","14-April-2018","-4.4","ACTUAL","100.0","10.4","ACTUAL","100.0","3.0","AGGREGATED","100.0","64.0","AGGREGATED","100.0","8.3","AGGREGATED","100.0"
"Calgary Int'L CS","15-April-2018","-2.5","ACTUAL","100.0","8.3","ACTUAL","100.0","2.2","AGGREGATED","100.0","71.8","AGGREGATED","100.0","12.1","AGGREGATED","100.0"
"Calgary Int'L CS","16-April-2018","-1.6","ACTUAL","100.0","1.2","ACTUAL","100.0","-0.1","AGGREGATED","100.0","87.3","AGGREGATED","100.0","18.1","AGGREGATED","100.0"
"Calgary Int'L CS","17-April-2018","-5.2","ACTUAL","100.0","3.6","ACTUAL","100.0","-0.5","AGGREGATED","100.0","83.1","AGGREGATED","100.0","7.7","AGGREGATED","100.0"
"Calgary Int'L CS","18-April-2018","-4.7","ACTUAL","100.0","8.4","ACTUAL","100.0","2.4","AGGREGATED","100.0","57.0","AGGREGATED","100.0","12.5","AGGREGATED","100.0"
"Calgary Int'L CS","19-April-2018","-5.6","ACTUAL","100.0","9.8","ACTUAL","100.0","3.2","AGGREGATED","100.0","63.1","AGGREGATED","100.0","9.9","AGGREGATED","100.0"
"Calgary Int'L CS","20-April-2018","-1.1","ACTUAL","100.0","12.5","ACTUAL","100.0","6.5","AGGREGATED","100.0","47.0","AGGREGATED","100.0","11.6","AGGREGATED","100.0"
"Calgary Int'L CS","21-April-2018","1.4","ACTUAL","100.0","14.8","ACTUAL","100.0","7.1","AGGREGATED","100.0","47.0","AGGREGATED","100.0","17.9","AGGREGATED","100.0"
