year,month,day,hour,minute,open,close,high,low,volume,number_of_trades
2023,4,1,23,30,28524.99,28484.42,28524.99,28480.4,1.59074137,44
2023,4,2,0,30,28491.44,28443.4,28491.44,28417.74,3.99092863,74
2023,4,2,1,30,28430.64,28439.95,28452.96,28430.64,0.54549883,27
2023,4,2,2,30,28436.01,28448.8,28450,28435.01,0.07113626,16
2023,4,2,3,30,28507.67,28505.46,28534.19,28494.25,0.65847293,43
2023,4,2,4,30,28485.74,28449.01,28485.74,28447.76,0.31148825,39
2023,4,2,5,30,28459.06,28475.13,28477.99,28450.02,1.18350936,36
2023,4,2,6,30,28454.36,28474.9,28477.5,28451.18,0.12549149,24
2023,4,2,7,30,28484.03,28464,28484.03,28464,0.03563704,16
2023,4,2,8,30,28440.27,28405.45,28440.27,28401.22,0.00578412,38
2023,4,2,9,30,28417.17,28442.85,28442.85,28417.17,0.44906554,21
2023,4,2,11,30,28402,28395.28,28409.19,28374.43,0.3044082,23
2023,4,2,12,30,28337.83,28339.76,28350.28,28302,2.80872187,86
2023,4,2,13,30,28306.25,28358,28383.48,28306.25,4.23124751,69
2023,4,2,14,30,28328.12,28326.73,28375.49,28318.26,2.01985701,50
2023,4,2,15,30,28132.81,28126.29,28161.56,28087.09,0.84433133,51
2023,4,2,17,30,28146.44,28225.09,28252.56,28146.44,1.95115551,63
2023,4,2,18,30,28198.32,28211.1,28223.98,28188.73,0.33676672,27
2023,4,2,19,30,28144.29,27949.41,28148.65,27900,5.27760779,179
2023,4,2,21,30,28130.99,28082.65,28135.75,28076.82,0.2089902,40
2023,4,2,22,30,27982.65,27988.78,28016.79,27956.81,0.49251394,43
2023,4,2,23,30,28135.79,28162.06,28188.72,28128.58,3.73687607,84
2023,4,3,0,30,28163.36,28106.08,28165.28,28084.58,5.50674097,115
2023,4,3,1,30,28033.24,27719.81,28042.88,27638.73,24.27984791,441
2023,4,3,2,30,27794.8,27802.67,27821.53,27745.96,2.12916924,78
2023,4,3,3,30,27747.44,27745.94,27747.8,27688.01,2.7134583,79
2023,4,3,4,30,27708.81,27649.57,27730.64,27648.83,0.34622076,46
2023,4,3,5,30,27734.83,27741.95,27779.33,27729.99,10.64204398,118
2023,4,3,6,30,27729.3,27715.47,27752.78,27706,0.26089462,31
2023,4,3,7,30,27924.12,27906.72,27945.25,27897.21,0.04807413,40
2023,4,3,8,30,28396.44,28332.2,28470.42,28328.45,4.36153811,114
2023,4,3,9,30,28333.77,28327.12,28392.83,28317.26,0.53590038,47
2023,4,3,10,30,28424,28361.9,28528,28361.9,2.22396825,109
2023,4,3,11,30,28282.38,28298.52,28304.99,28234.81,0.36490812,29
2023,4,3,12,30,28133.48,28108.56,28178.02,28086,6.00185532,114
2023,4,3,13,30,28237.05,28207.44,28237.05,28153.97,7.48012272,157
2023,4,3,14,30,28263.64,28090.42,28269.82,28005.84,8.97345002,333
2023,4,3,15,30,28081.31,28051.99,28102.94,28051.99,1.75682344,90
2023,4,3,16,30,28060.45,28026.28,28080.69,28019.71,4.07985466,675
2023,4,3,17,30,27999.3,28007,28086.17,27950,15.34474647,215
2023,4,3,18,30,28108.49,28124.69,28237.5,28058.73,12.67132872,343
