Property Id,Property_Type,Number of Buildings,Year_Built,Property_GFA,Site_Energy,Weather Normalized Site Energy Use (GJ),Site EUI (GJ/m²),Weather Normalized Site EUI (GJ/m²),Source Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Source EUI (GJ/m²),Weather Normalized Source EUI (GJ/m²),Emissions_CO2,Emissions_Intensity,Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/m²),Electricity,Natural_Gas,Year Ending,Precipitation,Corn_Heat_Unit,Heating_Degree_Days,Cooling_Degree_Days
6867796,Office,1,1990,540,484.5,501.9,0.9,0.93,635.8,653.3,1.18,1.21,46.1,85.3,17,31.4,42818,330.4,2021,"1,249.10","2,305.00","4,916.10",151.5
8854296,Office,1,1979,17468,13562.7,14080.5,0.78,0.81,20339.1,21025.9,1.16,1.2,1531.4,87.7,24.5,1.4,1081770.4,477.2,2021,"1,249.10","2,305.00","4,916.10",151.5
8854297,Office,1,1931,15195,7761,7910.9,0.51,0.52,10465.8,10600.3,0.69,0.7,778.9,51.3,256.5,16.9,768216.6,4995.5,2021,"1,249.10","2,305.00","4,916.10",151.5
8854298,Office,1,1982,85941,80012.3,81796.4,0.93,0.95,126219.7,128039.4,1.47,1.49,10040.3,116.8,64.1,0.7,8908231.3,1249.2,2021,"1,249.10","2,305.00","4,916.10",151.5
8854299,Office,1,1978,3664.9,2938,3021.8,0.8,0.82,3907.1,3946.9,1.07,1.08,286.9,78.3,100.1,27.3,274773.6,1948.9,2021,"1,249.10","2,305.00","4,916.10",151.5
9265818,Ice/Curling Rink,1,1990,12856,14488.3,14566.7,1.13,1.13,19398.4,19477.6,1.51,1.52,1433.9,111.5,486.4,37.8,1393401.8,9472.2,2021,"1,249.10","2,305.00","4,916.10",151.5
9469974,Fire Station,1,1973,1637.5,1705.3,1703.1,1.04,1.04,2295.3,2293.1,1.4,1.4,170.5,104.1,56.6,34.6,167536.7,1102.2,2021,"1,249.10","2,305.00","4,916.10",151.5
9474562,Ice/Curling Rink,1,1971,4189.8,11038.6,11370.1,2.63,2.71,13818.2,14153.1,3.3,3.38,953.3,227.5,422.5,100.8,780519.9,8228.8,2021,"1,249.10","2,305.00","4,916.10",151.5
9475593,Ice/Curling Rink,1,1970,3884,3715.8,3832,0.96,0.99,4793.3,4951.9,1.23,1.27,341.4,87.9,134.6,34.6,304199.5,2620.7,2021,"1,249.10","2,305.00","4,916.10",151.5
9481172,Heated Swimming Pool,1,1976,1641.2,8508.7,8715.6,5.18,5.31,10422.7,10631.7,6.35,6.48,701.7,427.6,338.1,206,534804.4,6583.4,2021,"1,249.10","2,305.00","4,916.10",151.5
9492075,Ice/Curling Rink,2,1963,8558,23007.5,23232.6,2.69,2.71,30679.4,30906.8,3.58,3.61,2258.9,264,779.2,91,2176064.7,15174,2021,"1,249.10","2,305.00","4,916.10",151.5
9493731,Ice/Curling Rink,1,1975,2295.5,4578.8,4493.3,1.99,1.96,6085.2,5998.7,2.65,2.61,446.6,194.6,156.2,68,427079.9,3041.4,2021,"1,249.10","2,305.00","4,916.10",151.5
9493818,Ice/Curling Rink,1,1972,5032,8900.8,8893.7,1.77,1.77,11844.9,11837.8,2.35,2.35,870.4,173,302.7,60.2,834872.2,5895.4,2021,"1,249.10","2,305.00","4,916.10",151.5
9496797,Ice/Curling Rink,1,1977,5036.4,10332,10586.5,2.05,2.1,13897.5,14154.5,2.76,2.81,1031.8,204.9,343.4,68.2,1012366.3,6687.7,2021,"1,249.10","2,305.00","4,916.10",151.5
9498648,Ice/Curling Rink,1,1969,5260.1,5953.8,6030.7,1.13,1.15,7507.6,7585.3,1.43,1.44,522.1,99.3,225,42.8,436939.1,4380.8,2021,"1,249.10","2,305.00","4,916.10",151.5
9499354,Ice/Curling Rink,1,1970,2185.5,3974.9,3928.3,1.82,1.8,5197.7,5150.6,2.38,2.36,375.4,171.8,140.2,64.1,345923.6,2729.7,2021,"1,249.10","2,305.00","4,916.10",151.5
9504074,Ice/Curling Rink,1,1963,3145,8131.4,8435,2.59,2.68,10471.2,10777.8,3.33,3.43,744.5,236.7,295.5,93.9,660391.2,5754.1,2021,"1,249.10","2,305.00","4,916.10",151.5
9552446,Fitness Center/Health Club/Gym,1,1963,1953.1,8808,9011.7,4.51,4.61,10734.7,10940.5,5.5,5.6,718.5,367.9,352.9,180.7,537631.2,6872.6,2021,"1,249.10","2,305.00","4,916.10",151.5
9552651,Heated Swimming Pool,1,1972,1462.8,8324.2,8536.2,5.69,5.84,10246.2,10460.3,7,7.15,693.7,474.2,328.1,224.3,537652.5,6388.8,2021,"1,249.10","2,305.00","4,916.10",151.5
9563574,Fitness Center/Health Club/Gym,1,1964,2892.9,10267.9,10621,3.55,3.67,12613.1,12969.7,4.36,4.48,851.9,294.5,406,140.4,655736.3,7907.3,2021,"1,249.10","2,305.00","4,916.10",151.5
9563763,Fitness Center/Health Club/Gym,1,1969,2034.8,8606.8,8789.1,4.23,4.32,10592.7,10776.8,5.21,5.3,717,352.4,339.3,166.7,555515.4,6607.1,2021,"1,249.10","2,305.00","4,916.10",151.5
9565753,Fitness Center/Health Club/Gym,1,1970,1549.8,4797.9,4898,3.1,3.16,5520.5,5621.6,3.56,3.63,344,222,209.9,135.4,197272.7,4087.8,2021,"1,249.10","2,305.00","4,916.10",151.5
9569163,Office,1,1979,1189.5,1131.1,1178.4,0.95,0.99,1548.7,1596.5,1.3,1.34,116.9,98.3,36.1,30.4,118800.4,703.4,2021,"1,249.10","2,305.00","4,916.10",151.5
9578055,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2,2014,9891.1,11657.4,11872.2,1.18,1.2,13682.1,13919.5,1.38,1.41,874.9,88.5,495.5,50.1,557972.6,9648.7,2021,"1,249.10","2,305.00","4,916.10",151.5
9586833,Office,1,2018,3762,2899.8,2960.8,0.77,0.79,4016.7,4078.4,1.07,1.08,295.5,78.6,78.8,20.9,318748.8,1533.9,2021,"1,249.10","2,305.00","4,916.10",151.5
9588693,Office,1,1976,229.5,799.7,844.7,3.49,3.68,903.7,949,3.94,4.14,55,239.5,35.9,156.4,28063.2,698.7,2021,"1,249.10","2,305.00","4,916.10",151.5
9588819,Mixed Use Property,1,1954,2072,1069.5,1071.1,0.52,0.52,1182,1183.6,0.57,0.57,69.7,33.6,49.4,23.8,29761.5,962.4,2021,"1,249.10","2,305.00","4,916.10",151.5
9589240,Office,1,1972,922,2034.3,2122.1,2.21,2.3,2605,2687.7,2.83,2.92,184.2,199.7,74.7,81,160946.1,1454.9,2021,"1,249.10","2,305.00","4,916.10",151.5
9589255,Social/Meeting Hall,1,1970,2391,3718.3,3738.4,1.56,1.56,4546.9,4523.6,1.9,1.89,305.5,127.8,148.2,62,231395.4,2885.4,2021,"1,249.10","2,305.00","4,916.10",151.5
9601552,Self-Storage Facility,1,1982,4761.5,5823.5,5875.2,1.22,1.23,7531,7583.3,1.58,1.59,537.8,113,209.9,44.1,482260.4,4087.5,2021,"1,249.10","2,305.00","4,916.10",151.5
9601861,Non-Refrigerated Warehouse,1,1982,22684,16631.8,16604,0.73,0.73,25763,25735.9,1.14,1.13,2071.7,91.3,285.9,12.6,2626141.6,5567.6,2021,"1,249.10","2,305.00","4,916.10",151.5
9619682,Fire Station,1,1912,1508.1,2010.1,1992.8,1.33,1.32,2684.5,2643.8,1.78,1.75,198,131.3,67.8,45,191336,1321.3,2021,"1,249.10","2,305.00","4,916.10",151.5
